idx,name,nbar,width,bandwidth
0,0_2,11,500,1
1,0_1,11,900,0.55
2,1_1,20,600,0.85
3,1_2,20,300,1
4,2_2,13,700,0.4
5,2_1,13,800,0.85
6,3_2,15,1000,0.7
7,3_1,15,300,0.55
8,4_1,10,700,0.4
9,4_2,10,900,0.7
10,5_1,4,400,0.4
11,5_2,4,500,1
12,6_1,18,300,0.85
13,6_2,18,300,0.1
14,7_2,5,500,0.1
15,7_1,5,400,0.4
16,8_2,13,500,0.85
17,8_1,13,900,0.55
18,9_1,19,900,1
19,9_2,19,500,0.1
20,10_2,9,900,0.85
21,10_1,9,600,0.1
22,11_1,18,1100,1
23,11_2,18,900,0.25
24,12_2,23,400,1
25,12_1,23,500,1
26,13_1,14,600,0.55
27,13_2,14,400,0.1
28,14_2,5,400,0.7
29,14_1,5,1000,0.25
30,15_2,23,1000,1
31,15_1,23,1100,0.85
32,16_1,10,500,0.7
33,16_2,10,400,0.1
34,17_1,8,300,0.4
35,17_2,8,800,0.4
36,18_1,27,900,0.55
37,18_2,27,1000,0.4
38,19_1,23,700,0.85
39,19_2,23,1100,1
40,20_1,24,1000,0.7
41,20_2,24,1100,0.25
42,21_2,14,1000,0.4
43,21_1,14,1000,0.1
44,22_2,5,900,0.85
45,22_1,5,900,0.1
46,23_2,5,1000,1
47,23_1,5,1100,0.55
48,24_1,10,600,0.85
49,24_2,10,1100,1
50,25_2,22,800,0.85
51,25_1,22,400,0.55
52,26_1,20,1100,1
53,26_2,20,1000,0.4
54,27_1,14,1100,0.4
55,27_2,14,600,1
56,28_2,26,800,0.25
57,28_1,26,500,0.55
58,29_2,5,800,0.85
59,29_1,5,300,0.7
60,30_2,27,400,0.4
61,30_1,27,700,1
62,31_2,10,1000,0.85
63,31_1,10,900,0.4
64,32_1,16,800,0.55
65,32_2,16,500,0.1
66,33_2,24,600,0.7
67,33_1,24,900,0.55
68,34_1,12,1100,1
69,34_2,12,400,1
70,35_1,26,500,0.55
71,35_2,26,1000,0.1
72,36_2,10,300,0.7
73,36_1,10,1000,0.1
74,37_1,5,900,0.55
75,37_2,5,500,1
76,38_2,10,1100,0.1
77,38_1,10,800,0.1
78,39_2,14,1000,0.85
79,39_1,14,600,0.4
80,40_2,14,500,0.4
81,40_1,14,500,0.1
82,41_1,18,600,0.4
83,41_2,18,500,0.25
84,42_2,18,800,0.1
85,42_1,18,800,0.55
86,43_1,19,300,0.1
87,43_2,19,600,0.7
88,44_2,13,500,0.55
89,44_1,13,500,1
90,45_1,19,600,0.7
91,45_2,19,900,0.55
92,46_1,24,900,1
93,46_2,24,1000,0.25
94,47_1,22,800,1
95,47_2,22,800,0.85
96,48_1,5,1100,0.7
97,48_2,5,800,0.7
98,49_2,21,400,0.85
99,49_1,21,300,0.4
100,50_1,10,800,0.4
101,50_2,10,600,0.4
102,51_1,5,800,0.85
103,51_2,5,700,0.4
104,52_1,5,300,1
105,52_2,5,1100,0.55
106,53_2,5,500,0.55
107,53_1,5,900,0.85
108,54_1,10,1000,0.25
109,54_2,10,500,0.55
110,55_1,25,600,1
111,55_2,25,900,0.1
112,56_1,15,1000,0.1
113,56_2,15,500,0.55
114,57_2,21,700,0.25
115,57_1,21,800,0.25
116,58_1,23,800,0.7
117,58_2,23,500,1
118,59_1,18,800,0.7
119,59_2,18,800,0.4
120,60_1,23,400,0.55
121,60_2,23,500,0.1
122,61_1,14,1000,0.7
123,61_2,14,600,0.85
124,62_2,16,700,0.7
125,62_1,16,700,1
126,63_1,5,800,0.1
127,63_2,5,500,0.1
128,64_2,20,700,0.85
129,64_1,20,800,1
130,65_2,4,900,0.25
131,65_1,4,400,0.4
132,66_2,8,900,0.25
133,66_1,8,1100,0.1
134,67_1,19,600,0.7
135,67_2,19,400,0.55
136,68_1,17,400,1
137,68_2,17,600,0.7
138,69_1,25,800,0.7
139,69_2,25,1100,0.85
140,70_1,13,300,0.7
141,70_2,13,600,0.85
142,71_2,16,900,0.1
143,71_1,16,900,0.1
144,72_1,23,1000,0.25
145,72_2,23,900,0.85
146,73_2,22,300,0.7
147,73_1,22,600,0.4
148,74_1,9,1000,0.25
149,74_2,9,300,0.85
150,75_1,9,1000,0.55
