name,nbar,maxChar,aspectRatio,bandwidth,rotation,orientation
0_1,8,8,1.75,0.5,0,1
0_2,8,8,1.5,0.8,0,1
1_1,5,9,1.5,0.3,0,0
1_2,5,9,0.5,0.9,-45,0
2_1,6,7,0.75,0.7,-45,0
2_2,6,7,1.75,0.7,0,1
3_1,18,12,1.5,0.4,0,1
3_2,18,12,0.5,0.3,0,1
4_1,25,5,2,0.3,0,1
4_2,25,5,2,0.3,-90,0
5_1,6,9,1.25,1,-45,0
5_2,6,9,1.5,0.4,-90,0
6_1,8,11,1,1,0,1
6_2,8,11,1.75,1,-90,0
7_1,13,6,1.25,0.6,-90,0
7_2,13,6,1.5,0.5,0,1
8_1,7,11,1,0.8,0,1
8_2,7,11,1.25,0.9,0,1
9_1,15,6,1.75,0.6,0,1
9_2,15,6,1,0.6,0,1
10_1,12,10,0.5,0.8,-45,0
10_2,12,10,2,0.4,-45,0
11_1,25,13,0.75,0.6,0,1
11_2,25,13,1.75,0.7,0,1
13_1,18,12,1.25,1,-45,0
13_2,18,12,1.75,0.7,0,1
15_1,12,12,2,0.9,-45,0
15_2,12,12,1.25,0.9,-45,0
16_1,14,10,1.75,1,0,1
16_2,14,10,0.75,0.6,0,1
17_1,16,8,0.75,0.5,-90,0
17_2,16,8,2,0.4,0,1
18_1,8,6,0.75,0.6,0,1
18_2,8,6,2,0.6,-45,0
19_1,17,7,2,0.6,0,0
19_2,17,7,1.75,0.3,-90,0
21_1,6,3,1,0.6,0,1
21_2,6,3,0.75,0.8,0,1
22_1,6,13,1.75,0.6,-90,0
22_2,6,13,1,0.7,0,1
23_1,15,12,0.5,0.8,0,1
23_2,15,12,1,0.6,-90,0
24_1,20,7,0.75,0.7,0,1
24_2,20,7,2,0.8,0,1
25_1,24,12,0.75,1,-90,0
25_2,24,12,1,0.8,0,1
26_1,12,11,0.75,1,0,1
26_2,12,11,1,0.6,0,1
27_1,13,4,1,0.9,0,1
27_2,13,4,0.75,0.9,-90,0
28_1,19,11,2,0.7,0,1
28_2,19,11,1,0.5,0,1
29_1,12,10,0.5,0.7,-90,0
29_2,12,10,1.75,0.3,-45,0
30_1,17,5,1.25,1,0,1
30_2,17,5,1.5,0.3,0,0
31_1,11,3,1,0.5,0,1
31_2,11,3,1.25,0.4,0,1
32_1,11,13,0.5,0.6,0,1
32_2,11,13,0.5,0.5,-90,0
33_1,9,11,0.75,1,0,1
33_2,9,11,0.5,0.9,0,1
34_1,7,14,1.5,0.5,0,1
34_2,7,14,0.75,0.9,-45,0
35_1,25,13,0.5,0.8,0,1
35_2,25,13,0.75,0.3,0,1
36_1,19,13,0.5,0.5,-90,0
36_2,19,13,1.5,0.6,0,1
37_1,20,6,1.25,0.3,0,1
37_2,20,6,1.5,0.9,-45,0
38_1,22,11,2,1,0,1
38_2,22,11,1.5,0.9,0,1
40_1,22,12,0.75,0.3,0,1
40_2,22,12,1.5,0.4,0,1
41_1,23,6,1,0.6,-90,0
41_2,23,6,1.5,0.3,0,1
42_1,17,8,1,0.9,0,1
42_2,17,8,1.25,0.4,0,1
43_1,23,4,1.75,0.3,-90,0
43_2,23,4,0.5,0.7,0,1
44_1,5,5,1,0.9,0,0
44_2,5,5,2,0.3,0,1
46_1,24,14,1.5,0.9,0,1
46_2,24,14,2,0.3,-45,0
47_1,8,3,1.25,0.8,-45,0
47_2,8,3,2,0.3,0,1
49_1,14,13,1.25,1,0,1
49_2,14,13,1.25,0.4,-90,0
50_1,6,5,2,0.5,0,1
50_2,6,5,2,0.5,0,1
51_1,23,8,1.5,0.6,-45,0
