HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.img1_1,Input.img1_2,Input.img2_1,Input.img2_2,Input.img3_1,Input.img3_2,Input.img4_1,Input.img4_2,Input.img5_1,Input.img5_2,Input.img6_1,Input.img6_2,Input.img7_1,Input.img7_2,Input.img8_1,Input.img8_2,Input.img9_1,Input.img9_2,Answer.taskAnswers,Approve,Reject
3U18MJKL2Z7IZOP7KEDHCIRV3S6CNO,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,5,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,3EG49X3510X1ILS42VSPD3M54BPX6C,A3HP7L563UF5DW,Submitted,Wed Sep 02 06:15:27 PDT 2020,Wed Sep 02 06:15:58 PDT 2020,Thu Sep 03 06:15:58 PDT 2020,,,,31,100% (1/1),100% (1/1),100% (1/1),https://anonymouslink/folder/1200_1.png,https://anonymouslink/folder/1200_2.png,https://anonymouslink/folder/1201_1.png,https://anonymouslink/folder/1201_2.png,https://anonymouslink/folder/1202_1.png,https://anonymouslink/folder/1202_2.png,https://anonymouslink/folder/1203_1.png,https://anonymouslink/folder/1203_2.png,https://anonymouslink/folder/1204_1.png,https://anonymouslink/folder/1204_2.png,https://anonymouslink/folder/1205_1.png,https://anonymouslink/folder/1205_2.png,https://anonymouslink/folder/1206_1.png,https://anonymouslink/folder/1206_2.png,https://anonymouslink/folder/1207_1.png,https://anonymouslink/folder/1207_2.png,https://anonymouslink/folder/1208_1.png,https://anonymouslink/folder/1208_2.png,"[{""img10_1"":{""img10_1"":false},""img10_2"":{""img10_2"":true},""img1_1"":{""img1_1"":false},""img1_2"":{""img1_2"":true},""img2_1"":{""img2_1"":false},""img2_2"":{""img2_2"":true},""img3_1"":{""img3_1"":true},""img3_2"":{""img3_2"":false},""img4_1"":{""img4_1"":false},""img4_2"":{""img4_2"":true},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":true},""img6_2"":{""img6_2"":false},""img7_1"":{""img7_1"":false},""img7_2"":{""img7_2"":true},""img8_1"":{""img8_1"":false},""img8_2"":{""img8_2"":true},""img9_1"":{""img9_1"":true},""img9_2"":{""img9_2"":false}}]",,
3U18MJKL2Z7IZOP7KEDHCIRV3S6CNO,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,5,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,3GFK2QRXXF2QAHN0N7MYJEUYZE8W52,A3O81LHBBI8NPK,Submitted,Wed Sep 02 06:17:12 PDT 2020,Wed Sep 02 06:18:05 PDT 2020,Thu Sep 03 06:18:05 PDT 2020,,,,53,0% (0/0),0% (0/0),0% (0/0),https://anonymouslink/folder/1200_1.png,https://anonymouslink/folder/1200_2.png,https://anonymouslink/folder/1201_1.png,https://anonymouslink/folder/1201_2.png,https://anonymouslink/folder/1202_1.png,https://anonymouslink/folder/1202_2.png,https://anonymouslink/folder/1203_1.png,https://anonymouslink/folder/1203_2.png,https://anonymouslink/folder/1204_1.png,https://anonymouslink/folder/1204_2.png,https://anonymouslink/folder/1205_1.png,https://anonymouslink/folder/1205_2.png,https://anonymouslink/folder/1206_1.png,https://anonymouslink/folder/1206_2.png,https://anonymouslink/folder/1207_1.png,https://anonymouslink/folder/1207_2.png,https://anonymouslink/folder/1208_1.png,https://anonymouslink/folder/1208_2.png,"[{""img10_1"":{""img10_1"":true},""img10_2"":{""img10_2"":false},""img1_1"":{""img1_1"":false},""img1_2"":{""img1_2"":true},""img2_1"":{""img2_1"":true},""img2_2"":{""img2_2"":false},""img3_1"":{""img3_1"":true},""img3_2"":{""img3_2"":false},""img4_1"":{""img4_1"":true},""img4_2"":{""img4_2"":false},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":false},""img6_2"":{""img6_2"":true},""img7_1"":{""img7_1"":true},""img7_2"":{""img7_2"":false},""img8_1"":{""img8_1"":false},""img8_2"":{""img8_2"":true},""img9_1"":{""img9_1"":false},""img9_2"":{""img9_2"":true}}]",,
3U18MJKL2Z7IZOP7KEDHCIRV3S6CNO,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,5,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,3X1FV8S5J3CBBPCFET0T1929IEDVG2,A2MTOSH583K270,Rejected,Wed Sep 02 05:33:13 PDT 2020,Wed Sep 02 05:34:02 PDT 2020,Thu Sep 03 05:34:02 PDT 2020,,Wed Sep 02 06:15:04 PDT 2020,Sorry we cannot accept this as you have provided different answers to the same question,49,56% (5/9),56% (5/9),56% (5/9),https://anonymouslink/folder/1200_1.png,https://anonymouslink/folder/1200_2.png,https://anonymouslink/folder/1201_1.png,https://anonymouslink/folder/1201_2.png,https://anonymouslink/folder/1202_1.png,https://anonymouslink/folder/1202_2.png,https://anonymouslink/folder/1203_1.png,https://anonymouslink/folder/1203_2.png,https://anonymouslink/folder/1204_1.png,https://anonymouslink/folder/1204_2.png,https://anonymouslink/folder/1205_1.png,https://anonymouslink/folder/1205_2.png,https://anonymouslink/folder/1206_1.png,https://anonymouslink/folder/1206_2.png,https://anonymouslink/folder/1207_1.png,https://anonymouslink/folder/1207_2.png,https://anonymouslink/folder/1208_1.png,https://anonymouslink/folder/1208_2.png,"[{""img10_1"":{""img10_1"":true},""img10_2"":{""img10_2"":false},""img1_1"":{""img1_1"":true},""img1_2"":{""img1_2"":false},""img2_1"":{""img2_1"":false},""img2_2"":{""img2_2"":true},""img3_1"":{""img3_1"":true},""img3_2"":{""img3_2"":false},""img4_1"":{""img4_1"":true},""img4_2"":{""img4_2"":false},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":false},""img6_2"":{""img6_2"":true},""img7_1"":{""img7_1"":true},""img7_2"":{""img7_2"":false},""img8_1"":{""img8_1"":true},""img8_2"":{""img8_2"":false},""img9_1"":{""img9_1"":false},""img9_2"":{""img9_2"":true}}]",,
3U18MJKL2Z7IZOP7KEDHCIRV3S6CNO,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,5,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,3ZPBJO59KVM3H4747EIHGN83X7MHDO,A3HKZTDVORNEZ,Approved,Wed Sep 02 05:34:43 PDT 2020,Wed Sep 02 05:36:15 PDT 2020,Thu Sep 03 05:36:15 PDT 2020,Wed Sep 02 06:15:03 PDT 2020,,,92,67% (4/6),67% (4/6),67% (4/6),https://anonymouslink/folder/1200_1.png,https://anonymouslink/folder/1200_2.png,https://anonymouslink/folder/1201_1.png,https://anonymouslink/folder/1201_2.png,https://anonymouslink/folder/1202_1.png,https://anonymouslink/folder/1202_2.png,https://anonymouslink/folder/1203_1.png,https://anonymouslink/folder/1203_2.png,https://anonymouslink/folder/1204_1.png,https://anonymouslink/folder/1204_2.png,https://anonymouslink/folder/1205_1.png,https://anonymouslink/folder/1205_2.png,https://anonymouslink/folder/1206_1.png,https://anonymouslink/folder/1206_2.png,https://anonymouslink/folder/1207_1.png,https://anonymouslink/folder/1207_2.png,https://anonymouslink/folder/1208_1.png,https://anonymouslink/folder/1208_2.png,"[{""img10_1"":{""img10_1"":false},""img10_2"":{""img10_2"":true},""img1_1"":{""img1_1"":true},""img1_2"":{""img1_2"":false},""img2_1"":{""img2_1"":false},""img2_2"":{""img2_2"":true},""img3_1"":{""img3_1"":false},""img3_2"":{""img3_2"":true},""img4_1"":{""img4_1"":true},""img4_2"":{""img4_2"":false},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":false},""img6_2"":{""img6_2"":true},""img7_1"":{""img7_1"":false},""img7_2"":{""img7_2"":true},""img8_1"":{""img8_1"":true},""img8_2"":{""img8_2"":false},""img9_1"":{""img9_1"":false},""img9_2"":{""img9_2"":true}}]",,
3U18MJKL2Z7IZOP7KEDHCIRV3S6CNO,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,5,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,3ZSANO2JCLSP5XZG9EP681IQIVJSFV,AZ0KS5UTO3EJ2,Rejected,Wed Sep 02 05:32:17 PDT 2020,Wed Sep 02 05:32:42 PDT 2020,Thu Sep 03 05:32:42 PDT 2020,,Wed Sep 02 06:15:03 PDT 2020,Sorry we cannot accept this as you have provided different answers to the same question,25,89% (16/18),88% (15/17),88% (15/17),https://anonymouslink/folder/1200_1.png,https://anonymouslink/folder/1200_2.png,https://anonymouslink/folder/1201_1.png,https://anonymouslink/folder/1201_2.png,https://anonymouslink/folder/1202_1.png,https://anonymouslink/folder/1202_2.png,https://anonymouslink/folder/1203_1.png,https://anonymouslink/folder/1203_2.png,https://anonymouslink/folder/1204_1.png,https://anonymouslink/folder/1204_2.png,https://anonymouslink/folder/1205_1.png,https://anonymouslink/folder/1205_2.png,https://anonymouslink/folder/1206_1.png,https://anonymouslink/folder/1206_2.png,https://anonymouslink/folder/1207_1.png,https://anonymouslink/folder/1207_2.png,https://anonymouslink/folder/1208_1.png,https://anonymouslink/folder/1208_2.png,"[{""img10_1"":{""img10_1"":true},""img10_2"":{""img10_2"":false},""img1_1"":{""img1_1"":true},""img1_2"":{""img1_2"":false},""img2_1"":{""img2_1"":true},""img2_2"":{""img2_2"":false},""img3_1"":{""img3_1"":false},""img3_2"":{""img3_2"":true},""img4_1"":{""img4_1"":true},""img4_2"":{""img4_2"":false},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":false},""img6_2"":{""img6_2"":true},""img7_1"":{""img7_1"":true},""img7_2"":{""img7_2"":false},""img8_1"":{""img8_1"":false},""img8_2"":{""img8_2"":true},""img9_1"":{""img9_1"":true},""img9_2"":{""img9_2"":false}}]",,
3LXX8KJXQ1UYJBIG9933PHQSNH89OJ,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,6,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,31LM9EDVORD8UMT7K8Z5O50CO31JNM,A2ZB24AEN6N7Y3,Submitted,Wed Sep 02 06:22:55 PDT 2020,Wed Sep 02 06:24:59 PDT 2020,Thu Sep 03 06:24:59 PDT 2020,,,,124,70% (7/10),70% (7/10),70% (7/10),https://anonymouslink/folder/1209_1.png,https://anonymouslink/folder/1209_2.png,https://anonymouslink/folder/1210_1.png,https://anonymouslink/folder/1210_2.png,https://anonymouslink/folder/1211_1.png,https://anonymouslink/folder/1211_2.png,https://anonymouslink/folder/1212_1.png,https://anonymouslink/folder/1212_2.png,https://anonymouslink/folder/1213_1.png,https://anonymouslink/folder/1213_2.png,https://anonymouslink/folder/1214_1.png,https://anonymouslink/folder/1214_2.png,https://anonymouslink/folder/1215_1.png,https://anonymouslink/folder/1215_2.png,https://anonymouslink/folder/1216_1.png,https://anonymouslink/folder/1216_2.png,https://anonymouslink/folder/1217_1.png,https://anonymouslink/folder/1217_2.png,"[{""img10_1"":{""img10_1"":true},""img10_2"":{""img10_2"":false},""img1_1"":{""img1_1"":false},""img1_2"":{""img1_2"":true},""img2_1"":{""img2_1"":true},""img2_2"":{""img2_2"":false},""img3_1"":{""img3_1"":true},""img3_2"":{""img3_2"":false},""img4_1"":{""img4_1"":false},""img4_2"":{""img4_2"":true},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":false},""img6_2"":{""img6_2"":true},""img7_1"":{""img7_1"":true},""img7_2"":{""img7_2"":false},""img8_1"":{""img8_1"":true},""img8_2"":{""img8_2"":false},""img9_1"":{""img9_1"":false},""img9_2"":{""img9_2"":true}}]",,
3LXX8KJXQ1UYJBIG9933PHQSNH89OJ,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,6,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,358UUM7WR5O0PPKXC6RPUZ0DY5I7RJ,A16P7DW4CB4JPM,Approved,Wed Sep 02 05:32:36 PDT 2020,Wed Sep 02 05:33:00 PDT 2020,Thu Sep 03 05:33:00 PDT 2020,Wed Sep 02 06:15:03 PDT 2020,,,24,92% (22/24),92% (22/24),75% (6/8),https://anonymouslink/folder/1209_1.png,https://anonymouslink/folder/1209_2.png,https://anonymouslink/folder/1210_1.png,https://anonymouslink/folder/1210_2.png,https://anonymouslink/folder/1211_1.png,https://anonymouslink/folder/1211_2.png,https://anonymouslink/folder/1212_1.png,https://anonymouslink/folder/1212_2.png,https://anonymouslink/folder/1213_1.png,https://anonymouslink/folder/1213_2.png,https://anonymouslink/folder/1214_1.png,https://anonymouslink/folder/1214_2.png,https://anonymouslink/folder/1215_1.png,https://anonymouslink/folder/1215_2.png,https://anonymouslink/folder/1216_1.png,https://anonymouslink/folder/1216_2.png,https://anonymouslink/folder/1217_1.png,https://anonymouslink/folder/1217_2.png,"[{""img10_1"":{""img10_1"":false},""img10_2"":{""img10_2"":true},""img1_1"":{""img1_1"":true},""img1_2"":{""img1_2"":false},""img2_1"":{""img2_1"":true},""img2_2"":{""img2_2"":false},""img3_1"":{""img3_1"":true},""img3_2"":{""img3_2"":false},""img4_1"":{""img4_1"":false},""img4_2"":{""img4_2"":true},""img5_1"":{""img5_1"":true},""img5_2"":{""img5_2"":false},""img6_1"":{""img6_1"":false},""img6_2"":{""img6_2"":true},""img7_1"":{""img7_1"":false},""img7_2"":{""img7_2"":true},""img8_1"":{""img8_1"":true},""img8_2"":{""img8_2"":false},""img9_1"":{""img9_1"":false},""img9_2"":{""img9_2"":true}}]",,
3LXX8KJXQ1UYJBIG9933PHQSNH89OJ,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,6,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,3BDCF01OG3F81BLLUVKTL0BBWC9YLS,A4AB8514GUJS5,Submitted,Wed Sep 02 06:21:33 PDT 2020,Wed Sep 02 06:23:15 PDT 2020,Thu Sep 03 06:23:15 PDT 2020,,,,102,64% (7/11),64% (7/11),56% (5/9),https://anonymouslink/folder/1209_1.png,https://anonymouslink/folder/1209_2.png,https://anonymouslink/folder/1210_1.png,https://anonymouslink/folder/1210_2.png,https://anonymouslink/folder/1211_1.png,https://anonymouslink/folder/1211_2.png,https://anonymouslink/folder/1212_1.png,https://anonymouslink/folder/1212_2.png,https://anonymouslink/folder/1213_1.png,https://anonymouslink/folder/1213_2.png,https://anonymouslink/folder/1214_1.png,https://anonymouslink/folder/1214_2.png,https://anonymouslink/folder/1215_1.png,https://anonymouslink/folder/1215_2.png,https://anonymouslink/folder/1216_1.png,https://anonymouslink/folder/1216_2.png,https://anonymouslink/folder/1217_1.png,https://anonymouslink/folder/1217_2.png,"[{""img10_1"":{""img10_1"":true},""img10_2"":{""img10_2"":false},""img1_1"":{""img1_1"":true},""img1_2"":{""img1_2"":false},""img2_1"":{""img2_1"":true},""img2_2"":{""img2_2"":false},""img3_1"":{""img3_1"":true},""img3_2"":{""img3_2"":false},""img4_1"":{""img4_1"":false},""img4_2"":{""img4_2"":true},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":false},""img6_2"":{""img6_2"":true},""img7_1"":{""img7_1"":false},""img7_2"":{""img7_2"":true},""img8_1"":{""img8_1"":true},""img8_2"":{""img8_2"":false},""img9_1"":{""img9_1"":false},""img9_2"":{""img9_2"":true}}]",,
3LXX8KJXQ1UYJBIG9933PHQSNH89OJ,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,6,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,3HMVI3QICPDVB4HH1L2A1L2XY6WY1E,A2XJH3WC02RMXQ,Rejected,Wed Sep 02 05:32:54 PDT 2020,Wed Sep 02 05:35:08 PDT 2020,Thu Sep 03 05:35:08 PDT 2020,,Wed Sep 02 06:15:03 PDT 2020,Sorry we cannot accept this as you have provided different answers to the same question,134,78% (31/40),73% (24/33),73% (24/33),https://anonymouslink/folder/1209_1.png,https://anonymouslink/folder/1209_2.png,https://anonymouslink/folder/1210_1.png,https://anonymouslink/folder/1210_2.png,https://anonymouslink/folder/1211_1.png,https://anonymouslink/folder/1211_2.png,https://anonymouslink/folder/1212_1.png,https://anonymouslink/folder/1212_2.png,https://anonymouslink/folder/1213_1.png,https://anonymouslink/folder/1213_2.png,https://anonymouslink/folder/1214_1.png,https://anonymouslink/folder/1214_2.png,https://anonymouslink/folder/1215_1.png,https://anonymouslink/folder/1215_2.png,https://anonymouslink/folder/1216_1.png,https://anonymouslink/folder/1216_2.png,https://anonymouslink/folder/1217_1.png,https://anonymouslink/folder/1217_2.png,"[{""img10_1"":{""img10_1"":false},""img10_2"":{""img10_2"":true},""img1_1"":{""img1_1"":false},""img1_2"":{""img1_2"":true},""img2_1"":{""img2_1"":false},""img2_2"":{""img2_2"":true},""img3_1"":{""img3_1"":true},""img3_2"":{""img3_2"":false},""img4_1"":{""img4_1"":false},""img4_2"":{""img4_2"":true},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":false},""img6_2"":{""img6_2"":true},""img7_1"":{""img7_1"":false},""img7_2"":{""img7_2"":true},""img8_1"":{""img8_1"":false},""img8_2"":{""img8_2"":true},""img9_1"":{""img9_1"":false},""img9_2"":{""img9_2"":true}}]",,
3LXX8KJXQ1UYJBIG9933PHQSNH89OJ,3EXOM20K1TUHTF1OFB8INGJ8IXL5PX,Choose the chart layout that you like (10 per HIT),Choose the chart layout that you like (10 per HIT),"layout, UI",$0.04,Wed Sep 02 05:29:32 PDT 2020,6,BatchId:4171701;OriginalHitTemplateId:928390828;,180,86400,Fri Sep 04 05:29:32 PDT 2020,,,3JBT3HLQFENYXMAOI9FJGOTX7G6PZ0,AXAXLC0TXQ0QW,Rejected,Wed Sep 02 05:33:02 PDT 2020,Wed Sep 02 05:33:27 PDT 2020,Thu Sep 03 05:33:27 PDT 2020,,Wed Sep 02 06:15:03 PDT 2020,Sorry we cannot accept this as you have provided different answers to the same question,25,59% (54/92),59% (54/92),59% (54/92),https://anonymouslink/folder/1209_1.png,https://anonymouslink/folder/1209_2.png,https://anonymouslink/folder/1210_1.png,https://anonymouslink/folder/1210_2.png,https://anonymouslink/folder/1211_1.png,https://anonymouslink/folder/1211_2.png,https://anonymouslink/folder/1212_1.png,https://anonymouslink/folder/1212_2.png,https://anonymouslink/folder/1213_1.png,https://anonymouslink/folder/1213_2.png,https://anonymouslink/folder/1214_1.png,https://anonymouslink/folder/1214_2.png,https://anonymouslink/folder/1215_1.png,https://anonymouslink/folder/1215_2.png,https://anonymouslink/folder/1216_1.png,https://anonymouslink/folder/1216_2.png,https://anonymouslink/folder/1217_1.png,https://anonymouslink/folder/1217_2.png,"[{""img10_1"":{""img10_1"":true},""img10_2"":{""img10_2"":false},""img1_1"":{""img1_1"":true},""img1_2"":{""img1_2"":false},""img2_1"":{""img2_1"":false},""img2_2"":{""img2_2"":true},""img3_1"":{""img3_1"":true},""img3_2"":{""img3_2"":false},""img4_1"":{""img4_1"":false},""img4_2"":{""img4_2"":true},""img5_1"":{""img5_1"":false},""img5_2"":{""img5_2"":true},""img6_1"":{""img6_1"":true},""img6_2"":{""img6_2"":false},""img7_1"":{""img7_1"":false},""img7_2"":{""img7_2"":true},""img8_1"":{""img8_1"":true},""img8_2"":{""img8_2"":false},""img9_1"":{""img9_1"":false},""img9_2"":{""img9_2"":true}}]",,
