fileName,NBar,width,band
0_0,582,900,0.6
1_0,291,400,0.5
2_0,635,600,0.30000000000000004
3_0,476,800,0.7
4_0,370,600,0.7
5_0,767,900,0.6
6_0,397,500,0.5
7_0,502,700,0.7999999999999999
8_0,502,500,0.4
9_0,555,400,0.4
10_0,609,500,0.2
11_0,450,800,0.7
12_0,265,400,0.6
13_0,609,600,0.5
14_0,555,700,0.4
15_0,662,1000,0.6
16_0,238,400,0.5
17_0,714,900,0.6
18_0,133,400,0.6
19_0,212,500,0.30000000000000004
20_0,635,600,0.7999999999999999
21_0,397,700,0.6
22_0,609,1000,0.6
23_0,714,900,0.7
24_0,265,700,0.4
25_0,529,600,0.6
26_0,238,700,0.4
27_0,662,800,0.6
28_0,291,600,0.6
29_0,186,500,0.4
30_0,767,500,0.30000000000000004
31_0,238,300,1.0
32_0,291,500,0.6
33_0,160,800,0.6
34_0,291,600,0.2
35_0,767,900,0.7
36_0,714,700,0.7
37_0,502,700,0.4
38_0,502,700,0.4
39_0,662,700,0.7999999999999999
40_0,370,600,0.7
41_0,291,600,0.6
42_0,212,900,0.4
43_0,555,1100,1.0
44_0,529,500,0.7999999999999999
45_0,343,700,0.5
46_0,317,800,0.7999999999999999
47_0,291,600,0.4
48_0,450,700,0.6
49_0,529,900,0.5
